cuie	codigo	usuario	fecha_carga
N05423	TMI 69		
N05437	TMI 69		
N05445	TMI 69		
N05447	TMI 69		
N05448	TMI 69		
N05452	TMI 69		
N05454	TMI 69		
N05471	TMI 69		
N10468	TMI 69		
N20005	TMI 69		
N20022	TMI 69		
N20026	TMI 69		
N30010	TMI 69		
N30019	TMI 69		
N95723	TMI 69		
N95753	TMI 69		
N95768	TMI 69		
N01145	TMI 70		
N03156	TMI 70		
N05176	TMI 70		
N05282	RPU 85		
N05299	RPU 85		
N05334	RPU 85		
N05355	RPU 85		
N05363	RPU 85		
N05382	RPU 85		
N05384	RPU 85		
N05403	RPU 85		
N05424	RPU 85		
N05438	RPU 85		
N05441	RPU 85		
N05447	RPU 85		
N10469	RPU 85		
N10471	RPU 85		
N20004	RPU 85		
N20024	RPU 85		
N20043	RPU 85		
N20045	RPU 85		
N95720	RPU 85		
N95758	RPU 85		
N95762	RPU 85		
N03163	RTM 11		
N03174	RTM 11		
N05175	RTM 11		
N05435	RTM 11		
N00297	RTM 11		
N00483	RTM 11		
N01148	RTM 11		
N03173	RTM 11		
N05167	RTM 11		
N05171	RTM 11		
N05203	RTM 11		
N05242	RTM 11		
N05264	RTM 11		
N05274	RTM 11		
N05322	RTM 11		
N05373	RTM 11		
N05381	RTM 11		
N05387	RTM 11		
N05422	RTM 11		
N05452	RTM 11		
N05456	RTM 11		
N05462	RTM 11		
N05469	RTM 11		
N05471	RTM 11		
N10452	RTM 11		
N11182	RTM 11		
N20009	RTM 11		
N20026	RTM 11		
N20049	RTM 11		
N30023	RTM 11		
N95719	RTM 11		
N95761	RTM 11		
N95762	RTM 11		
N95770	RTM 11		
N99990	RTM 11		
N03158	SIS 01		
N03164	SIS 01		
N05244	SIS 01		
N05248	SIS 01		
N05270	SIS 01		
N05271	SIS 01		
N05277	SIS 01		
N05352	SIS 01		
N05355	SIS 01		
N05383	SIS 01		
N05393	SIS 01		
N05404	SIS 01		
N05418	SIS 01		
N05422	SIS 01		
N05430	SIS 01		
N05444	SIS 01		
N05445	SIS 01		
N10469	SIS 01		
N10492	SIS 01		
N20004	SIS 01		
N20021	SIS 01		
N20028	SIS 01		
N20032	SIS 01		
N20035	SIS 01		
N30023	SIS 01		
N95719	SIS 01		
N95726	SIS 01		
N95767	SIS 01		
N95768	SIS 01		
N95781	SIS 01		
N05176	SIS 17		
N03171	SIS 18		
N05165	SIS 18		
N05180	SIS 18		
N05436	SIS 18		
N03157	TMI 69		
N03170	TMI 69		
N05176	TMI 69		
S00001	TMI 69		
N01138	TMI 69		
N03161	TMI 69		
N05247	TMI 69		
N05250	TMI 69		
N05255	TMI 69		
N05286	TMI 69		
N05326	TMI 69		
N05331	TMI 69		
N05343	TMI 69		
N05345	TMI 69		
N05382	TMI 69		
N05392	TMI 69		
N05407	TMI 69		
N05411	TMI 69		
N10457	TMI 69		
N10471	TMI 69		
N20010	TMI 69		
N20032	TMI 69		
N20037	TMI 69		
N20054	TMI 69		
N30009	TMI 69		
N30012	TMI 69		
N95784	TMI 69		
N05261	TMI 70		
N20020	TMI 71		
N05294	RPU 85		
N05329	RPU 85		
N05345	RPU 85		
N05346	RPU 85		
N05347	RPU 85		
N05381	RPU 85		
N05387	RPU 85		
N05448	RPU 85		
N05462	RPU 85		
N10488	RPU 85		
N10853	RPU 85		
N20006	RPU 85		
N20012	RPU 85		
N30016	RPU 85		
N30019	RPU 85		
N30024	RPU 85		
N30025	RPU 85		
N95718	RPU 85		
N95719	RPU 85		
N95724	RPU 85		
N03157	RTM 11		
N00328	RTM 11		
N00496	RTM 11		
N05163	RTM 11		
N05188	RTM 11		
N05213	RTM 11		
N05229	RTM 11		
N05266	RTM 11		
N05269	RTM 11		
N05286	RTM 11		
N05293	RTM 11		
N05316	RTM 11		
N05377	RTM 11		
N05382	RTM 11		
N05404	RTM 11		
N05426	RTM 11		
N05427	RTM 11		
N05442	RTM 11		
N05447	RTM 11		
N10485	RTM 11		
N20045	RTM 11		
N20046	RTM 11		
N20047	RTM 11		
N20050	RTM 11		
N30014	RTM 11		
N30018	RTM 11		
N30024	RTM 11		
N95756	RTM 11		
N95767	RTM 11		
N00496	SIS 01		
N01138	SIS 01		
N03161	SIS 01		
N05211	SIS 01		
N05240	SIS 01		
N05281	SIS 01		
N05325	SIS 01		
N05340	SIS 01		
N05347	SIS 01		
N05414	SIS 01		
N05433	SIS 01		
N05457	SIS 01		
N05468	SIS 01		
N10482	SIS 01		
N10499	SIS 01		
N10853	SIS 01		
N11182	SIS 01		
N20009	SIS 01		
N20019	SIS 01		
N20037	SIS 01		
N20039	SIS 01		
N20043	SIS 01		
N30012	SIS 01		
N95718	SIS 01		
N03170	SIS 17		
N03155	SIS 18		
N03174	SIS 18		
N05168	SIS 18		
N05177	SIS 18		
N05183	SIS 18		
N05261	SIS 18		
N05367	SIS 18		
N05177	TMI 69		
N03158	TMI 69		
N03159	TMI 69		
N03173	TMI 69		
N03588	TMI 69		
N05197	TMI 69		
N05201	TMI 69		
N05229	TMI 69		
N05252	TMI 69		
N05283	TMI 69		
N05308	TMI 69		
N05313	TMI 69		
N05314	TMI 69		
N05317	TMI 69		
N05324	TMI 69		
N05362	TMI 69		
N05412	TMI 69		
N05443	TMI 69		
N10470	TMI 69		
N10478	TMI 69		
N20021	TMI 69		
N20038	TMI 69		
N30016	TMI 69		
N30017	TMI 69		
N30018	TMI 69		
N30023	TMI 69		
N95720	TMI 69		
N95722	TMI 69		
N95772	TMI 69		
N95781	TMI 69		
N95782	TMI 69		
N99932	TMI 69		
N03162	TMI 70		
N05178	TMI 70		
N05182	TMI 70		
N05259	RPU 85		
N05303	RPU 85		
N05315	RPU 85		
N05396	RPU 85		
N05422	RPU 85		
N05439	RPU 85		
N05453	RPU 85		
N05456	RPU 85		
N10478	RPU 85		
N20011	RPU 85		
N20031	RPU 85		
N20038	RPU 85		
N20047	RPU 85		
N30010	RPU 85		
N95725	RPU 85		
N95755	RPU 85		
N95767	RPU 85		
N95773	RPU 85		
N95788	RPU 85		
N99930	RPU 85		
N99976	RPU 85		
NI8880	RPU 85		
N05178	RTM 11		
N05189	RTM 11		
N05195	RTM 11		
N05215	RTM 11		
N05244	RTM 11		
N05257	RTM 11		
N05289	RTM 11		
N05294	RTM 11		
N05299	RTM 11		
N05315	RTM 11		
N05323	RTM 11		
N05325	RTM 11		
N05326	RTM 11		
N05362	RTM 11		
N05430	RTM 11		
N10478	RTM 11		
N10488	RTM 11		
N20000	RTM 11		
N20006	RTM 11		
N20032	RTM 11		
N95755	RTM 11		
N95769	RTM 11		
N95779	RTM 11		
N95782	RTM 11		
N99932	RTM 11		
N00328	SIS 01		
N03165	SIS 01		
N05163	SIS 01		
N05169	SIS 01		
N05190	SIS 01		
N05236	SIS 01		
N05243	SIS 01		
N05254	SIS 01		
N05298	SIS 01		
N05302	SIS 01		
N05318	SIS 01		
N05320	SIS 01		
N05327	SIS 01		
N05331	SIS 01		
N05342	SIS 01		
N05372	SIS 01		
N05374	SIS 01		
N05392	SIS 01		
N05395	SIS 01		
N10457	SIS 01		
N20017	SIS 01		
N20054	SIS 01		
N30016	SIS 01		
N95721	SIS 01		
N95724	SIS 01		
N00538	SIS 17		
N05165	SIS 17		
N05436	SIS 17		
N03169	SIS 18		
N03586	SIS 18		
N00419	TMI 69		
N00538	TMI 69		
N03163	TMI 69		
N05162	TMI 69		
N05435	TMI 69		
N05163	TMI 69		
